Ek Thi Daayan,Horror,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[80]",U/A
Aashiqui 2,Musical romance,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[81]",U
Shree,Thriller,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[82]",U
Shootout at Wadala,Crime/Thriller,Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangna Ranaut[83]",A
Bombay Talkies,Anthology,"Anurag Kashyap, Karan Johar,Zoya Akhtar, Dibakar Banerjee","Amitabh Bachchan, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda,Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[84]",U/A
Chhota Bheem And The Throne of Bali,Children/Animation,Rajiv Chilaka,"Chhota Bheem, Raju, Chutji, Balli[85]",U
Go Goa Gone,Zombie comedy,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[86]",A
Gippi,Coming of age,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[87]",U/A
Aurangzeb,Drama/Action,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasheh Aagha[88]",U/A
I Don't Luv U,Romantic drama,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[89]",U/A
Beehad - The Ravines,Drama,Krishna Mishra,"Maan Singh Deep, Mangal Singh, Sunil Sawara [90]",U/A
Ishkq in Paris,Romance,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[91]",U/A
Hum Hai Raahi CAR Ke,Romantic comedy,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[92]",U/A
Zindagi 50-50,Social,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari,Rajpal Yadav[93]",A
Yeh Jawaani Hai Deewani,Romantic comedy,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin[94]",U/A
Yamla Pagla Deewana 2,Comedy/Action,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[95]",U/A
Fukrey,Comedy,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh,Priya Anand, Pankaj Tripathi[96]",U/A
Ankur Arora Murder Case,Thriller,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[97]",U/A
Raanjhanaa,Romance,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[98]",U/A
Enemmy,Action,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[99]",A
Shortcut Romeo,Romantic thriller,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[100]",U/A
Ghanchakkar,Comedy/Thriller,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan[101]",U/A
Lootera,Romance/Thriller,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[102]",U/A
Policegiri,Action,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[103]",U/A
Bhaag Milkha Bhaag,Biopic,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[104]",U
Sixteen,Drama,Raj Purohit,"Izabelle Leite, Waqima Gabbi, Mahak, Highphill[105]",U/A
B.A. Pass,Drama,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[106]",A
Boyss Toh Boyss Hain,Comedy,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[107]",U/A
Ramaiya Vastavaiya,Rom-com,Prabhudeva,"Girish Kumar, Shruti Haasan[108]",U/A
D Day,Action/Drama,Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[109]",U/A
Ship of Theseus,Avant-garde,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[110]",U/A
Issaq,Romance/Drama,Manish Tiwary,"Prateik Babbar, Rajeshwari Sachdev, Ravi Kishan, Makarand Deshpande[111]",U/A
Bajatey Raho,Comedy,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[112]",U/A
Luv U Soniyo,Romance,Joe Rajan,"Tanuj Virwani, Neha Hinge[113]",U
Nasha,Erotic/Thriller,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[114]",A
Rabba Main Kya Karoon,Comedy,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Tahira Kochchar, Paresh Rawal[115]",U/A
Chor Chor Super Chor,Comedy,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[116]",U
Calapor,Thriller/Drama,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[117]",U/A
Love in Bombay,Romance,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[118]",U
Chennai Express,Comedy/Action,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[119]",U/A
Once Upon Ay Time In Mumbai Dobaara!,Crime/Romance,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre[120]",U/A
Madras Cafe,Drama/Espionage thriller,Shoojit Sircar,"John Abraham, Nargis Fakhri",U/A
Satyagraha,Political thriller,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj Bajpai[121]",U/A
Zanjeer,Action/Thriller,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[122]",U/A
Shuddh Desi Romance,Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[123]",U/A
Grand Masti,Adult comedy,Indra Kumar,"Ritesh Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari Phadnis[124]",A
John Day,Thriller,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[125]",A
Horror Story,Horror,Ayush Raina,"Karan Kundra, Nishant Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna Bajpai, Radhika Menon, Nandini Vaid[126]",A
Phata Poster Nikla Hero,Rom com/Action,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure[127]",U
The Lunchbox,Drama,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[128]",U
Warning,Thriller,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[129]",A
Maazii,Suspense thriller,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary [130]",U/A
Prague,Psychological thriller/Romance,Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[131]",U/A
Super Model,Drama,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[132]",A
Besharam,Comedy/Action,Abhinav Kashyap,"Ranbir Kapoor, Pallavi Sharda, Rishi Kapoor, Neetu Singh[133]",U/A
War Chhod Na Yaar,War comedy,Faraz Haider,"Sharman Joshi, Javed Jaffrey, Soha Ali Khan, Sanjai Mishra[134]",U/A
Baat Ban Gayi,Comedy,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[135]",U
Ek Thee Sanam,Drama,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[136]",A
Paapi - Ek Satya Katha,Crime,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma,Harish Patel[137]",A
Boss,Masala,Anthony D'Souza,"Akshay Kumar, Aditi Rao Hydari, Johny Lever[138]",U/A
Shahid,Drama/Biography,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[139]",A
Wake Up India,Political/Drama,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[140]",U/A
Amdavad Junction,Crime/Drama,Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, Devendra Trivedi, Hitesh Patel, Swapna Nair[141]",A
Dilli Gang,Crime,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif Ali[142]",U/A
Mickey Virus,Comedy/Thriller,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[143]",U/A
Ishk Actually,Romance,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, Siddharth Van Shipley[144]",U/A
Sooper Se Ooper,Comedy,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[145]",U/A
Krrish 3,Superhero,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[146]",U/A
Satya 2,Crime,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[147] Mahesh Thakur, Aradhna Gupta,[148][149] Raj Premi,Vikram Singh [150]",A
Rajjo,Romance,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",U/A
Goliyon Ki Rasleela Ram-Leela,Romance/Drama,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[151]",U/A
Gori Tere Pyaar Mein,Romance/Comedy,Punit Malhotra,"Imran Khan, Kareena Kapoor[152]",U/A
Singh Saab The Great,Action,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[153]",U/A
Bullett Raja,Comedy/Crime/Romance,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Shergill, Vidyut Jamwal, Chunky Pandey, Sunny Leone[154]",U/A
R... Rajkumar,Action/Romance,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani[155]",U/A
Lucky Kabootar,Comedy/Romance,Shammi Chhabra,"Ravi Kishan, Eijaz Khan, Kulraj Randhawa, Shraddha Das, Sanjai Mishra, Madhavi Sharma[156]",U/A
Jackpot,Thriller/Comedy,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[157]",A
What the Fish,Drama,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari[158]",U
Dhoom 3,Action,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff[159]",
